m is 197
  i   S
-------
  0   0
  1   2
  2   3
  3   5
  4   7
  5  11
  6  13
  7  17
  8  19
  9  23
 10  29
 11  31
 12  37
 13  41
 14  43
 15  47
   i   card  C
-----------------
  59    7   16
  59    8   16
  59    9   16
  59   10   16
  59   11   16
  59   12   16
  59   13   16
  59   14   16
  59   15   16
  60    1   16
  60    2   11
  60    3   13
  60    4    8
  60    5    9
  60    6   16
  60    7    8
  60    8   16
  60    9   16
  60   10   16
  60   11   16
  60   12   16
  60   13   16
  60   14   16
  60   15   16
  61    1   16
  61    2   16
  61    3   10
  61    4    9
  61    5    8
  61    6    8
  61    7   16
  61    8   16
  61    9   16
  61   10   16
  61   11   16
  61   12   16
  61   13   16
  61   14   16
  61   15   16
  62    1   16
  62    2   14
  62    3   11
  62    4    9
  62    5    8
  62    6    8
  62    7   16
  62    8   16
  62    9   16
  62   10   16
  62   11   16
  62   12   16
  62   13   16
  62   14   16
  62   15   16
  63    1   16
  63    2   16
  63    3   10
  63    4   10
  63    5    8
  63    6    8
  63    7   16
  63    8   16
  63    9   16
  63   10   16
  63   11   16
  63   12   16
  63   13   16
  63   14   16
  63   15   16
  64    1   16
  64    2   13
  64    3   14
  64    4    9
  64    5    9
  64    6    8
  64    7    8
  64    8   16
  64    9   16
  64   10   16
  64   11   16
  64   12   16
  64   13   16
  64   14   16
  64   15   16
  65    1   16
  65    2   16
  65    3   10
  65    4   10
  65    5    8
  65    6    8
  65    7   16
  65    8   16
  65    9   16
  65   10   16
  65   11   16
  65   12   16
  65   13   16
  65   14   16
  65   15   16
  66    1   16
  66    2   12
  66    3   13
  66    4    9
  66    5    9
  66    6    9
  66    7    8
  66    8   16
  66    9   16
  66   10   16
  66   11   16
  66   12   16
  66   13   16
  66   14   16
  66   15   16
  67    1   16
  67    2   16
  67    3   11
  67    4   10
  67    5    8
  67    6    8
  67    7   16
  67    8   16
  67    9   16
  67   10   16
  67   11   16
  67   12   16
  67   13   16
  67   14   16
  67   15   16
  68    1   16
  68    2   12
  68    3   12
  68    4   10
  68    5    9
  68    6    8
  68    7    9
  68    8   16
  68    9   16
  68   10   16
  68   11   16
  68   12   16
  68   13   16
  68   14   16
  68   15   16
  69    1   16
  69    2   16
  69    3   10
  69    4   11
  69    5    9
  69    6    8
  69    7   16
  69    8   16
  69    9   16
  69   10   16
  69   11   16
  69   12   16
  69   13   16
  69   14   16
  69   15   16
  70    1   16
  70    2   13
  70    3   12
  70    4    9
  70    5   10
  70    6    8
  70    7    8
  70    8   16
  70    9   16
  70   10   16
  70   11   16
  70   12   16
  70   13   16
  70   14   16
  70   15   16
  71    1   16
  71    2   16
  71    3   10
  71    4   10
  71    5    9
  71    6    9
  71    7   16
  71    8   16
  71    9   16
  71   10   16
  71   11   16
  71   12   16
  71   13   16
  71   14   16
  71   15   16
  72    1   16
  72    2   13
  72    3   13
  72    4    9
  72    5    9
  72    6    8
  72    7    8
  72    8   16
  72    9   16
  72   10   16
  72   11   16
  72   12   16
  72   13   16
  72   14   16
  72   15   16
  73    1   16
  73    2   16
  73    3   11
  73    4   10
  73    5    9
  73    6    9
  73    7   16
  73    8   16
  73    9   16
  73   10   16
  73   11   16
  73   12   16
  73   13   16
  73   14   16
  73   15   16
  74    1   16
  74    2   14
  74    3   13
